,Alpha3Code,CountryName,year,gdp
0,ALB,Albania,2005,5160.0
1,ALB,Albania,2006,5788.4
2,ALB,Albania,2007,6719.9
3,ALB,Albania,2008,7691.0
4,ALB,Albania,2009,8101.3
5,ALB,Albania,2010,8593.4
6,ALB,Albania,2011,9112.3
7,ALB,Albania,2012,9348.1
8,ALB,Albania,2013,9624.9
9,ALB,Albania,2014,10384.7
10,ALB,Albania,2015,10702.7
11,ALB,Albania,2016,11139.9
12,ALB,Albania,2017,11634.1
13,ALB,Albania,2018,12200.7
14,ALB,Albania,2019,13049.6
15,ALB,Albania,2020,12802.1
16,ALB,Albania,2021,13823.8
17,ALB,Albania,2022,..
18,ALB,Albania,2023,..
19,AND,Andorra,2005,..
20,AND,Andorra,2006,..
21,AND,Andorra,2007,..
22,AND,Andorra,2008,..
23,AND,Andorra,2009,30731.8
24,AND,Andorra,2010,34307.9
25,AND,Andorra,2011,34616.4
26,AND,Andorra,2012,34791.7
27,AND,Andorra,2013,32108.8
28,AND,Andorra,2014,33753.2
29,AND,Andorra,2015,33769.2
30,AND,Andorra,2016,36869.9
31,AND,Andorra,2017,38152.5
32,AND,Andorra,2018,41032.1
33,AND,Andorra,2019,42629.2
34,AND,Andorra,2020,42750.7
35,AND,Andorra,2021,48357.6
36,AND,Andorra,2022,..
37,AND,Andorra,2023,..
57,AUT,Austria,2005,25396.4
58,AUT,Austria,2006,27041.6
59,AUT,Austria,2007,27668.2
60,AUT,Austria,2008,29138.7
61,AUT,Austria,2009,30057.8
62,AUT,Austria,2010,30861.4
63,AUT,Austria,2011,32290.0
64,AUT,Austria,2012,33796.6
65,AUT,Austria,2013,34911.4
66,AUT,Austria,2014,35274.6
67,AUT,Austria,2015,35900.8
68,AUT,Austria,2016,37613.2
69,AUT,Austria,2017,38740.6
70,AUT,Austria,2018,40263.1
71,AUT,Austria,2019,42719.9
72,AUT,Austria,2020,41492.7
73,AUT,Austria,2021,45455.4
74,AUT,Austria,2022,50773.4
75,AUT,Austria,2023,53176.5
95,BLR,Belarus,2005,7038.3
