,Country Name,Country Code,Year,GDP_per_capita
0,Albania,ALB,2012,4247.63134315945
1,Andorra,AND,2012,41500.5435791686
2,Austria,AUT,2012,48250.4059142637
3,Belarus,BLR,2012,6953.21591683101
4,Belgium,BEL,2012,44874.1709182123
5,Bosnia and Herzegovina,BIH,2012,4693.78899115381
6,Bulgaria,BGR,2012,7430.7373804242
7,Croatia,HRV,2012,13508.6836989693
8,Cyprus,CYP,2012,28991.935546875
9,Czechia,CZE,2012,20014.0354015165
10,Denmark,DNK,2012,58443.7747103968
11,Estonia,EST,2012,17568.2137969714
12,Finland,FIN,2012,47551.6740841369
13,France,FRA,2012,40863.5814412333
14,Georgia,GEO,2012,4530.69533409431
15,Germany,DEU,2012,44735.5882319701
16,Greece,GRC,2012,21624.346052551
17,Hungary,HUN,2012,12984.8365730133
18,Iceland,ISL,2012,45995.5478789467
19,Ireland,IRL,2012,49411.7387476787
20,Italy,ITA,2012,35235.7989058242
21,Kosovo,XKX,2012,3410.65550749316
22,Latvia,LVA,2012,13329.3499931271
23,Liechtenstein,LIE,2012,148842.035144342
24,Lithuania,LTU,2012,14294.7178607152
25,Luxembourg,LUX,2012,112584.676270958
26,Malta,MLT,2012,22878.313086001
27,Moldova,MDA,2012,3044.8084324815
28,Monaco,MCO,2012,165444.651378771
29,Montenegro,MNE,2012,6586.39970256684
30,Netherlands,NLD,2012,50473.9442002689
31,North Macedonia,MKD,2012,5049.8265386157
32,Norway,NOR,2012,102175.919298374
33,Poland,POL,2012,13087.420943321
34,Portugal,PRT,2012,20593.4274224109
35,Romania,ROU,2012,8929.95366231474
36,Russian Federation,RUS,2012,15401.8515625
37,San Marino,SMR,2012,47945.8991734281
38,Serbia,SRB,2012,6263.04086072815
39,Albania,ALB,2013,4413.06338346821
40,Andorra,AND,2013,42470.3161159692
41,Austria,AUT,2013,50305.3545774973
42,Belarus,BLR,2013,7998.0802045456
43,Belgium,BEL,2013,46964.5946777056
44,Bosnia and Herzegovina,BIH,2013,5034.56616016469
45,Bulgaria,BGR,2013,7687.71368243317
46,Croatia,HRV,2013,14136.3967669505
47,Cyprus,CYP,2013,27797.45703125
48,Czechia,CZE,2013,20260.4954999375
49,Denmark,DNK,2013,61377.5940590412
50,Estonia,EST,2013,19310.3874900757
51,Finland,FIN,2013,49691.0145200739
52,France,FRA,2013,42669.1795111893
53,Georgia,GEO,2013,4712.00229382665
54,Germany,DEU,2013,47220.0102098851
55,Greece,GRC,2013,21573.3449762805
56,Hungary,HUN,2013,13715.0703590361
57,Iceland,ISL,2013,49804.9829978371
58,Ireland,IRL,2013,52619.2123745817
59,Italy,ITA,2013,35747.707952689
60,Kosovo,XKX,2013,3704.55872781672
61,Latvia,LVA,2013,14484.4715282132
62,Liechtenstein,LIE,2013,172823.607794648
63,Lithuania,LTU,2013,15655.3513307327
64,Luxembourg,LUX,2013,120000.140729859
65,Malta,MLT,2013,25346.5236450477
66,Moldova,MDA,2013,3321.04397795719
67,Monaco,MCO,2013,184940.663804718
68,Montenegro,MNE,2013,7188.86361611271
69,Netherlands,NLD,2013,52602.2860520766
70,North Macedonia,MKD,2013,5626.26115664893
71,Norway,NOR,2013,103553.840134417
72,Poland,POL,2013,13621.9023794031
73,Portugal,PRT,2013,21676.4859642714
74,Romania,ROU,2013,9497.67411615237
75,Russian Federation,RUS,2013,15941.4482421875
76,San Marino,SMR,2013,50807.8289138024
77,Serbia,SRB,2013,7040.41812068781
78,Albania,ALB,2014,4578.63320812155
79,Andorra,AND,2014,44369.659691379
80,Austria,AUT,2014,51314.9722616322
81,Belarus,BLR,2014,8341.29014337961
82,Belgium,BEL,2014,47995.7786961339
83,Bosnia and Herzegovina,BIH,2014,5206.06558252
84,Bulgaria,BGR,2014,7912.27484371138
85,Croatia,HRV,2014,14187.9694531493
86,Cyprus,CYP,2014,27244.3515625
87,Czechia,CZE,2014,20038.4163180257
88,Denmark,DNK,2014,62520.4509747011
89,Estonia,EST,2014,20581.7898991695
90,Finland,FIN,2014,50073.7760815871
91,France,FRA,2014,43148.0459288416
92,Georgia,GEO,2014,4830.33486170249
93,Germany,DEU,2014,48971.0824722599
94,Greece,GRC,2014,21474.7257123892
95,Hungary,HUN,2014,14294.2584180751
96,Iceland,ISL,2014,54576.7448146565
97,Ireland,IRL,2014,57278.2590911107
98,Italy,ITA,2014,35750.7197500382
99,Kosovo,XKX,2014,3902.49424360946
100,Latvia,LVA,2014,15185.814581236
101,Liechtenstein,LIE,2014,178735.153020908
