country,year,Corruption Commission Present in Constitution,The Bayesian Corruption Indicator,Corruption Perceptions Index Rank,Corruption Perceptions Index Score,Corruption Perceptions Index Sources,Corruption Perceptions Index Standard Error,gdp,Regional Indicator,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Confidence In National Government,trade_in_services%,control_of_corruption_estimate,access_to_electricity%,renewvable_energy_consumption%,CO2_emisions,population_density,inflation_annual%,research_and_development_expenditure%,expense%,goverment_effectiveness_estimate,individuals_using_internet%,military_expenditure%,political_stability_estimate,rule_of_law_estimate,regulatory_quality_estimate,government_expenditure_on_education%,government_health_expenditure%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,intentional_homicides
Albania,2012,"2,00","57,65",113.0,33.0,7.0,2.0,9348.1,Central and Eastern Europe,5.510124207,9.326343536,0.784501791,68.16000366,0.601512134,-0.170467481,0.847675204,0.364893705,34.9265806164893,-0.778729438781738,99.9,39.91,4541.8,105.854051094891,2.03159268395301,,23.007590723666,-0.26892501115799,49.4,1.48708257655216,-0.143631592392921,-0.519839763641357,0.240491986274719,3.30906105041504,2.45518684,29.0,12.227,7.573,78.064,2900401.0,1324613.0,0.0220640376210213,5.42840674878889
Albania,2013,"2,00","57,79",116.0,31.0,7.0,2.1,9624.9,Central and Eastern Europe,4.550647736,9.33814621,0.759476721,68.44000244,0.631830275,-0.128825098,0.862904966,0.338094711,33.3607403729134,-0.750955939292908,99.8903121948242,41.14,4795.4,105.660291970803,1.93762080205229,,24.1607729474324,-0.323875933885574,51.8,1.40898210141146,0.0919297859072685,-0.518606007099152,0.25416025519371,3.53929996490479,2.57775068,,12.279,7.819,78.123,2895092.0,1291587.0,0.0488925911486149,4.2950952090984
Albania,2014,"2,00","57,47",110.0,33.0,7.0,1.51,10384.7,Central and Eastern Europe,4.813763142,9.357805252,0.625586927,68.72000122,0.734648407,-0.026297539,0.882704437,0.49878639,34.480288657765,-0.586141347885132,99.95,38.56,5188.0,105.441751824818,1.6258650440261,,24.3826654387392,-0.0489184409379959,54.3,1.34651599128914,0.485986232757568,-0.310979843139648,0.279037684202194,3.21696710586548,2.5936265,34.6,12.15,7.868,78.407,2889104.0,1258985.0,0.143777400255203,4.64616022595595
Albania,2015,"2,00","56,97",88.0,36.0,7.0,3.58,10702.7,Central and Eastern Europe,4.606650829,9.382661819,0.639356136,69.0,0.703850687,-0.082491614,0.884793043,0.506978393,34.3873305784545,-0.544385254383087,99.98,38.49,4797.0,105.135145985401,1.89617402592365,,24.4461757489854,0.0282399524003267,56.9,1.16230386432234,0.341639041900635,-0.318997442722321,0.174237310886383,3.43796992301941,2.731354,32.8,11.718,7.947,78.644,2880703.0,1226200.0,0.157161772251129,2.22030990322398
Albania,2016,"2,00","56,52",83.0,39.0,7.0,1.99,11139.9,Central and Eastern Europe,4.511100769,9.416872978,0.638411462,69.02500153,0.72981894,-0.018664083,0.901070774,0.400909811,37.2773563494623,-0.471469223499298,99.89,39.44,4573.2,104.967189781022,1.2754316836741,,23.9567294338323,0.0298212617635727,59.6,1.10358100880452,0.337447881698608,-0.321364849805832,0.186607629060745,3.96209001541138,2.80370712,33.7,11.289,8.035,78.86,2876101.0,1195854.0,0.170948684215546,2.74204347492575
Albania,2017,"2,00","56,58",91.0,38.0,8.0,1.81,11634.1,Central and Eastern Europe,4.639548302,9.455109596,0.637698293,69.05000305,0.74961102,-0.030505668,0.876134634,0.457737535,40.3937845954971,-0.480890601873398,99.89,36.94,5403.7,104.870693430657,1.98666133171199,,23.8675876185324,0.0987358614802361,62.4,1.10915100558884,0.373769819736481,-0.412762373685837,0.220623150467873,3.61172008514404,2.6750803,33.1,10.87,8.15,79.047,2873457.0,1167112.0,0.203807637095451,2.01434001712189
Albania,2018,"2,00","56,68",99.0,36.0,8.0,1.65,12200.7,Central and Eastern Europe,5.004402637,9.496984482,0.683591664,69.07499695,0.824212313,0.007197479,0.899129391,0.435337961,39.1276058991765,-0.545840263366699,100.0,37.83,5316.1,104.612262773723,2.02805963071136,,23.2668144479125,0.0806501731276512,65.4,1.16054478505068,0.366642981767654,-0.414187848567963,0.256079822778702,3.15294480323792,2.82325125,30.1,10.517,8.308,79.184,2866376.0,1137407.0,0.188694432377815,2.29404594278858
Albania,2019,"2,00","56,92",106.0,35.0,8.0,2.51,13049.6,Central and Eastern Europe,4.995317936,9.521909714,0.686364889,69.09999847,0.777351439,-0.10090977,0.914284289,0.336627871,40.2638961581812,-0.563899636268616,100.0,40.11,4993.3,104.167554744526,1.41109078954246,,23.1506546473696,-0.0621441006660461,68.55039112,1.28080596201472,0.110049679875374,-0.425378829240799,0.272065460681915,3.91623997688293,2.86730385,30.1,10.343,8.48,79.282,2854191.0,1106598.0,0.141880303621292,2.26174791010144
Albania,2020,"2,00","56,96",104.0,36.0,8.0,0.92,12802.1,Central and Eastern Europe,5.364909649,9.492215157,0.710115016,69.125,0.75367105,0.004123116,0.891358972,0.373402834,25.6887974472176,-0.572924494743347,100.0,44.58,4383.2,103.571131386861,1.62088661717011,,24.7325637517413,-0.154880329966545,72.23767711,1.29847911563693,0.0885764509439468,-0.376249194145203,0.221967235207558,3.3422999382019,2.93465567,29.4,10.285,10.785,76.989,2837849.0,1075204.0,0.0864025726914406,2.12777201167065
Albania,2021,"2,00","56,96",110.0,35.0,8.0,1.33,13823.8,Central and Eastern Europe,5.25548172,9.58320713,0.70188278,69.15000153,0.827452719,0.041377552,0.896126628,0.472924024,34.0939821694784,-0.576535522937775,100.0,,,102.615547445255,2.04147163139549,,24.5363331196553,-0.0353600680828094,79.32371752,1.22084466120546,0.196294024586678,-0.280372351408005,0.175859391689301,3.09042119979858,,,10.24,11.325,76.463,2811666.0,1041188.0,0.0859144106507301,2.31196864129807
Albania,2022,,,101.0,36.0,8.0,1.32,..,Central and Eastern Europe,5.212213039,9.626482964,0.724089622,69.17500305,0.802249789,-0.065987259,0.845501959,,39.8187556897742,-0.407875537872314,,,,,6.72520271530049,,,0.0650628432631493,82.61368583,1.58488092384586,0.114945493638515,-0.16577909886837,0.159353822469711,,,,,,,2777689.0,1005551.0,0.13946570456028,
Austria,2012,"2,00","16,89",25.0,69.0,8.0,2.4,33796.6,Western Europe,7.400688648,10.8836441,0.945142388,70.09999847,0.919703901,0.113813803,0.770585775,0.376573861,24.9194761063376,1.42725443840027,100.0,34.37,65112.0,102.156943771207,2.48567562177015,2.91472005844116,46.1450485455905,1.56018972396851,80.02999392,0.778464250647036,1.34056687355042,1.85712373256683,1.51716470718384,5.48040008544922,7.43251085,30.5,9.4,9.4,80.9365853658537,8429991.0,3612504.0,1.44877302646637,0.960895526159402
