cname,year,Civil Justice is Free of Corruption,Criminal System is Free of Corruption,Corruption Commission Present in Constitution,Civil Rights,Anti Corruption Policy,The Bayesian Corruption Indicator
,,,,2.0,,,58.32
,,,,2.0,,,57.87
,,,,2.0,8.0,4.0,57.98
,,,,2.0,,,57.75
,,,,2.0,8.0,4.0,57.44
,,,,2.0,,,57.36
,,,,2.0,8.0,4.0,57.36
,,,,2.0,,,57.35
,,,,2.0,8.0,4.0,57.43
,,0.22,0.32,2.0,,,57.65
,,,,2.0,8.0,4.0,57.79
,,0.37,0.32,2.0,,,57.47
,,0.35,0.42,2.0,8.0,5.0,56.97
,,0.21,0.36,2.0,,,56.52
,,0.2,0.33,2.0,8.0,5.0,56.58
,,,,2.0,,,56.68
,,0.21,0.35,2.0,8.0,5.0,56.92
,,0.28,0.33,2.0,,,56.96
,,0.29,0.34,2.0,8.0,6.0,56.96
,,0.28,0.33,,,,
,,0.31,0.33,,,,
,,,,2.0,,,19.75
,,,,2.0,,,19.4
,,,,2.0,,,19.33
,,,,2.0,,,18.91
,,,,2.0,,,17.93
,,,,2.0,,,17.08
,,,,2.0,,,16.61
,,,,2.0,,,16.24
,,,,2.0,,,16.54
,,0.9,0.86,2.0,,,16.89
,,,,2.0,,,16.91
,,0.86,0.85,2.0,,,16.66
,,0.88,0.88,2.0,,,16.25
,,0.89,0.88,2.0,,,15.78
,,0.89,0.87,2.0,,,15.52
,,,,2.0,,,15.18
,,0.89,0.88,2.0,,,14.91
,,0.86,0.88,2.0,,,14.65
,,0.87,0.87,2.0,,,14.37
,,0.87,0.85,,,,
,,0.87,0.87,,,,
,,,,2.0,,,21.41
,,,,2.0,,,21.02
,,,,2.0,,,20.52
,,,,2.0,,,20.17
,,,,2.0,,,19.76
,,,,2.0,,,19.35
,,,,2.0,,,19.03
,,,,2.0,,,18.5
,,,,2.0,,,17.96
,,0.81,0.8,2.0,,,17.54
,,,,2.0,,,17.23
,,0.82,0.85,2.0,,,16.19
,,0.86,0.85,2.0,,,15.34
,,0.85,0.84,2.0,,,14.78
,,0.84,0.83,2.0,,,15.02
,,,,2.0,,,15.17
,,0.82,0.83,2.0,,,15.13
,,0.83,0.83,2.0,,,15.15
,,0.83,0.82,2.0,,,15.0
,,0.82,0.82,,,,
,,0.83,0.82,,,,
,,,,2.0,,,56.42
,,,,2.0,,,56.11
,,,,2.0,8.0,6.0,55.76
,,,,2.0,,,56.11
,,,,2.0,9.0,7.0,55.85
,,,,2.0,,,54.64
,,,,2.0,9.0,7.0,54.39
,,,,2.0,,,53.76
,,,,2.0,9.0,7.0,52.89
,,0.49,0.4,2.0,,,52.0
,,,,2.0,8.0,6.0,50.92
,,0.49,0.38,2.0,,,50.74
,,0.47,0.39,2.0,8.0,6.0,50.65
