,ISO3 Code,Year,Rule_of_law,Gov_effectiveness,Control_of_corruption,Fdi,Gdp_per_capita,Gini,Unemployement,Political_stability
0,ALB,2012,-0.519839763641357,-0.26892501115799,-0.778729438781738,7.45135495532692,4247.63134315945,29.0,13.376,-0.143631592392921
1,ALB,2013,-0.518828868865967,-0.324457377195358,-0.751372694969177,9.81628458243044,4413.06338346821,31.45,15.866,0.0919297859072685
2,ALB,2014,-0.311199098825455,-0.0497708097100258,-0.5865718126297,8.69303872198522,4578.63320812155,34.6,18.055,0.485986232757568
3,ALB,2015,-0.31968680024147,0.0275752544403076,-0.54514080286026,8.69053394301894,3952.80357364813,32.8,17.193,0.341639041900635
4,ALB,2016,-0.322631984949112,0.0290823616087437,-0.472373723983765,8.80509197849022,4124.05538986272,33.7,15.418,0.337447881698608
5,ALB,2017,-0.414191573858261,0.0985528454184532,-0.481386840343475,7.85544826704409,4531.03220675893,33.1,13.616,0.373770743608475
6,ALB,2018,-0.414752036333084,0.0805245339870453,-0.546018898487091,7.83109066598543,5365.48934672897,30.1,12.304,0.366779267787933
7,ALB,2019,-0.426317363977432,-0.0623007006943226,-0.564274072647095,7.70621785587149,5460.42823730592,30.1,11.466,0.11010505259037
8,ALB,2020,-0.378028213977814,-0.155121222138405,-0.573538780212402,7.01865154485077,5370.77862312929,29.4,14.517,0.0886125192046165
9,ALB,2021,-0.280716270208359,-0.0359850227832794,-0.577179968357086,6.75790671297037,6413.28328605026,31.45,14.517,0.196371927857399
10,ALB,2022,-0.165585100650787,0.0645405352115631,-0.408189445734024,7.57934219388197,6846.42614266044,31.45,14.517,0.106261312961578
11,ALB,2023,-0.164097368717194,0.250855356454849,-0.332218527793884,6.88397745384155,8575.17113446213,31.45,14.517,0.183348968625069
12,AUT,2012,1.85712373256683,1.56018972396851,1.42725443840027,1.2830027920872,48250.4059142637,30.5,4.909,1.34056687355042
13,AUT,2013,1.83409059047699,1.57137954235077,1.53727698326111,-0.302633479129545,50305.3545774973,30.8,5.367,1.36410057544708
14,AUT,2014,1.93843615055084,1.5529956817627,1.46650183200836,0.389557041234778,51314.9722616322,30.5,5.674,1.27070045471191
15,AUT,2015,1.81477534770966,1.4509791135788,1.47204375267029,-1.80409511056007,43915.228020857,30.5,5.802,1.12933051586151
16,AUT,2016,1.76146185398102,1.47481060028076,1.49688053131104,-7.23989904197038,45061.4993920192,30.8,6.064,0.8921759724617
17,AUT,2017,1.8003545999527,1.46775150299072,1.50082015991211,3.38180275607348,47163.7425775142,29.7,5.561,1.02962481975555
18,AUT,2018,1.85348308086395,1.45611667633057,1.56858718395233,-6.15119207172195,51194.0749841299,30.8,4.933,0.884860396385193
19,AUT,2019,1.86229813098907,1.49212622642517,1.52132439613342,-2.85255617561831,49885.9947355204,30.2,4.56,0.892189025878906
20,AUT,2020,1.77060890197754,1.60586321353912,1.47770941257477,-2.76332070661681,48716.4098900349,29.8,5.201,0.887600898742676
21,AUT,2021,1.75175452232361,1.52829468250275,1.24272727966309,3.95409323796325,53648.7190742245,30.7,6.459,0.899554431438446
22,AUT,2022,1.70427322387695,1.46492278575897,1.25858676433563,3.03143362679607,52176.6649141178,30.5,4.992,0.648710012435913
23,AUT,2023,1.74656546115875,1.32668149471283,1.1336532831192,0.571627955399011,56033.573792065,30.5,5.264,0.727989196777344
24,BEL,2012,1.44880962371826,1.67117416858673,1.55911040306091,2.36956900950956,44874.1709182123,27.5,7.542,0.923599720001221
25,BEL,2013,1.45676612854004,1.70195496082306,1.60431730747223,-5.65561784857252,46964.5946777056,27.7,8.425,0.940082728862762
26,BEL,2014,1.54851686954498,1.51735270023346,1.51272034645081,-2.82643623555084,47995.7786961339,28.1,8.523,0.701269447803497
27,BEL,2015,1.45622563362122,1.52944529056549,1.47445356845856,-4.23261410354123,40893.804537772,27.7,8.482,0.577092111110687
28,BEL,2016,1.39380347728729,1.39763832092285,1.53124380111694,12.1319420227113,41854.5498296444,27.6,7.83,0.429606109857559
