"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2005","5160.0",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2006","5788.4",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2007","6719.9",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2008","7691.0",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2009","8101.3",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2010","8593.4",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2011","9112.3",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2012","9348.1",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2013","9624.9",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2014","10384.7",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2015","10702.7",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2016","11139.9",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2017","11634.1",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2018","12200.7",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2019","13049.6",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2020","12802.1",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2021","13823.8",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2022","..",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","008","ALB","Albania","2023","..",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2005","..",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2006","..",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2007","..",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2008","..",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2009","30731.8",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2010","34307.9",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2011","34616.4",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2012","34791.7",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2013","32108.8",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2014","33753.2",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2015","33769.2",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2016","36869.9",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2017","38152.5",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2018","41032.1",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2019","42629.2",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2020","42750.7",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2021","48357.6",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2022","..",
"5","Final consumption expenditure per capita in USD adjusted by purchasing power parities","Final consumption expenditure","Per capita in USD adjusted by purchasing power parities","020","AND","Andorra","2023","..",
