Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Albania","ALB","4247.63134315945","4413.06338346821","4578.63320812155","3952.80357364813","4124.05538986272","4531.03220675893","5365.48934672897","5460.42823730592","5370.77862312929","6413.28328605026","6846.42614266044","8575.17113446213"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Andorra","AND","41500.5435791686","42470.3161159692","44369.659691379","38654.9347203095","40129.8192007698","40672.9943348258","42819.7745797624","41257.8045846483","37361.0900666982","42425.6996756291","42414.0590092117","46812.4484486309"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Austria","AUT","48250.4059142637","50305.3545774973","51314.9722616322","43915.228020857","45061.4993920192","47163.7425775142","51194.0749841299","49885.9947355204","48716.4098900349","53648.7190742245","52176.6649141178","56033.573792065"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Belarus","BLR","6953.21591683101","7998.0802045456","8341.29014337961","5967.06856034227","5039.77560949445","5785.53397723676","6360.05310087258","6837.76832136779","6542.8645398436","7489.71894713888","7994.64806074889","7829.05313660622"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Belgium","BEL","44874.1709182123","46964.5946777056","47995.7786961339","40893.804537772","41854.5498296444","44035.3239358548","47487.2100392561","46716.6227467964","45906.2875805246","51655.7883303715","50807.2047084918","54700.9093236712"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Bosnia and Herzegovina","BIH","4693.78899115381","5034.56616016469","5206.06558252","4662.25883724069","4928.5665251728","5345.01985489192","6047.84584261133","6122.3753450882","6130.31133245161","7295.3438240957","7655.59421024383","8638.66620201187"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Bulgaria","BGR","7430.7373804242","7687.71368243317","7912.27484371138","7078.86032298969","7570.93165511708","8381.88134621669","9436.14479876055","9838.60058985384","10198.5388313404","12274.0775950496","13644.201582807","15885.5391311331"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Croatia","HRV","13508.6836989693","14136.3967669505","14187.9694531493","12285.3032582105","12821.1738140304","13902.6310485422","15460.4183295843","15563.8167397199","14808.4620188819","17789.9304736722","18466.0955472648","21865.4562838641"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Cyprus","CYP","28991.935546875","27797.45703125","27244.3515625","23487.228515625","24715.154296875","26696.990234375","29599.986328125","29703.052734375","28649.015625","33734.29296875","33938.9453125","36551.41796875"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Czechia","CZE","20014.0354015165","20260.4954999375","20038.4163180257","17931.5987670768","18753.9686718096","20913.197632212","23705.9329811299","24062.7190013343","23472.8915454417","27696.4619527544","28282.2236715857","31591.1770732969"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Denmark","DNK","58443.7747103968","61377.5940590412","62520.4509747011","53094.0133607574","54500.9260410217","57521.5514992225","61324.7665045565","59404.2663247723","60985.4885601514","69727.9873677012","68091.3191138669","68453.8769281145"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Estonia","EST","17568.2137969714","19310.3874900757","20581.7898991695","17722.1557669523","18666.3736521706","20851.5223496861","23618.1361254581","24021.2501413306","23933.9939421065","27953.7670230126","28451.1477825175","30133.304450454"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Finland","FIN","47551.6740841369","49691.0145200739","50073.7760815871","42560.3456767103","43451.2562442158","46085.0174739036","49654.2497035329","48358.1807773701","48828.6846862799","53099.1351400148","50438.4753952355","52925.6897638424"
GDP per capita (current US$),"NY.GDP.PCAP.CD","France","FRA","40863.5814412333","42669.1795111893","43148.0459288416","36702.4323733379","37024.2157133669","38687.1626407164","41418.1766484844","40408.2848574751","39169.8606000707","43725.0999521245","41082.8119320747","44690.9345395117"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Georgia","GEO","4530.69533409431","4712.00229382665","4830.33486170249","4086.6223465965","4143.40125686315","4418.75206546679","4804.0546040444","4741.2832715876","4300.85701291207","5083.60695484577","6729.84659930283","8283.66960242964"
GDP per capita (current US$),"NY.GDP.PCAP.CD","Germany","DEU","44735.5882319701","47220.0102098851","48971.0824722599","41911.0109851054","42961.0356905775","45526.5999576533","48874.8595028454","47623.8656074829","47379.765194548","52265.6541620571","49686.1154582583","54343.2265084958"
