Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2023 [YR2023]","2022 [YR2022]","2021 [YR2021]","2020 [YR2020]","2019 [YR2019]","2018 [YR2018]","2017 [YR2017]","2016 [YR2016]"
Gini index,"SI.POV.GINI","Afghanistan","AFG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Albania","ALB","29","NA","34.6","32.8","NA","NA","NA","29.4","30.1","30.1","33.1","33.7"
Gini index,"SI.POV.GINI","Algeria","DZA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","American Samoa","ASM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Andorra","AND","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Angola","AGO","NA","NA","NA","NA","NA","NA","NA","NA","NA","51.3","NA","NA"
Gini index,"SI.POV.GINI","Antigua and Barbuda","ATG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Argentina","ARG","41.4","41.1","41.8","NA","NA","40.7","42.4","42.7","43.3","41.7","41.4","42.3"
Gini index,"SI.POV.GINI","Armenia","ARM","29.6","30.6","31.5","32.4","NA","27.9","27.9","25.1","30","34.4","33.6","32.5"
Gini index,"SI.POV.GINI","Aruba","ABW","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Australia","AUS","NA","NA","34.4","NA","NA","NA","NA","NA","NA","34.3","NA","33.7"
Gini index,"SI.POV.GINI","Austria","AUT","30.5","30.8","30.5","30.5","NA","NA","30.7","29.8","30.2","30.8","29.7","30.8"
Gini index,"SI.POV.GINI","Azerbaijan","AZE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Bahamas, The","BHS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Bahrain","BHR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Bangladesh","BGD","NA","NA","NA","NA","NA","33.4","NA","NA","NA","NA","NA","32.4"
Gini index,"SI.POV.GINI","Barbados","BRB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Belarus","BLR","26.5","26.6","27.2","25.6","NA","NA","NA","24.4","25.3","25.2","25.4","25.3"
Gini index,"SI.POV.GINI","Belgium","BEL","27.5","27.7","28.1","27.7","NA","NA","26.6","26","27.2","27.2","27.4","27.6"
Gini index,"SI.POV.GINI","Belize","BLZ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Benin","BEN","NA","NA","NA","47.6","NA","NA","34.4","NA","NA","37.9","NA","NA"
Gini index,"SI.POV.GINI","Bermuda","BMU","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Bhutan","BTN","38.8","NA","NA","NA","NA","28.5","NA","NA","NA","NA","37.4","NA"
Gini index,"SI.POV.GINI","Bolivia","BOL","46.6","47.6","47.8","46.7","NA","NA","40.9","43.6","41.6","42.6","44.6","45.2"
Gini index,"SI.POV.GINI","Bosnia and Herzegovina","BIH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Botswana","BWA","NA","NA","NA","53.3","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Brazil","BRA","53.4","52.7","52","51.9","NA","52","52.9","48.9","53.5","53.9","53.3","53.4"
Gini index,"SI.POV.GINI","British Virgin Islands","VGB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Brunei Darussalam","BRN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Bulgaria","BGR","36","36.6","37.4","38.6","NA","NA","39","40.5","40.3","41.3","40.4","40.6"
Gini index,"SI.POV.GINI","Burkina Faso","BFA","NA","NA","35.3","NA","NA","NA","37.4","NA","NA","43","NA","NA"
Gini index,"SI.POV.GINI","Burundi","BDI","NA","38.6","NA","NA","NA","NA","NA","37.5","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Cabo Verde","CPV","NA","NA","NA","42.4","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Cambodia","KHM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Cameroon","CMR","NA","NA","46.6","NA","NA","NA","42.2","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Canada","CAN","33.5","33.8","33.2","33.7","NA","NA","NA","NA","31.7","32.5","33.3","32.7"
Gini index,"SI.POV.GINI","Cayman Islands","CYM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Central African Republic","CAF","NA","NA","NA","NA","NA","NA","43","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Chad","TCD","NA","NA","NA","NA","NA","37.4","NA","NA","NA","37.5","NA","NA"
Gini index,"SI.POV.GINI","Channel Islands","CHI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Chile","CHL","NA","46.8","NA","45.3","NA","43","NA","47","NA","NA","45.3","NA"
Gini index,"SI.POV.GINI","China","CHN","42.2","39.7","39.2","38.6","NA","NA","35.7","37.1","38.2","38.5","39.1","38.5"
Gini index,"SI.POV.GINI","Colombia","COL","52.6","52.6","52.5","51","NA","54.8","55.1","53.5","51.3","50.4","49.7","50.6"
Gini index,"SI.POV.GINI","Comoros","COM","NA","NA","45.3","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Congo, Dem. Rep.","COD","42.1","NA","NA","NA","NA","NA","NA","44.7","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Congo, Rep.","COG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Costa Rica","CRI","48.4","49.2","48.6","48.4","46.7","47.2","48.7","49.2","48.2","48","48.3","48.7"
Gini index,"SI.POV.GINI","Cote d'Ivoire","CIV","NA","NA","NA","41.5","NA","NA","35.3","NA","NA","37.2","NA","NA"
Gini index,"SI.POV.GINI","Croatia","HRV","32.5","32","32.1","31.1","NA","NA","28.9","29.5","28.9","29.7","30.4","30.9"
Gini index,"SI.POV.GINI","Cuba","CUB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Curacao","CUW","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Cyprus","CYP","34.3","37","35.6","34","NA","NA","31.3","31.7","31.2","32.7","31.4","32.9"
Gini index,"SI.POV.GINI","Czechia","CZE","26.1","26.5","25.9","25.9","NA","NA","26.2","26.2","25.3","25","24.9","25.4"
Gini index,"SI.POV.GINI","Denmark","DNK","27.8","28.5","28.4","28.2","NA","NA","28.3","27.5","27.7","28.2","28.7","28.2"
Gini index,"SI.POV.GINI","Djibouti","DJI","45.1","44.1","NA","NA","NA","NA","NA","NA","NA","NA","41.6","NA"
Gini index,"SI.POV.GINI","Dominica","DMA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Dominican Republic","DOM","46.1","47.7","44.3","45.2","NA","37","38.5","39.6","41.9","43.7","42.2","45.7"
Gini index,"SI.POV.GINI","Ecuador","ECU","46.1","46.9","45","46","44.6","45.5","45.8","47.3","45.7","45.4","44.7","45"
Gini index,"SI.POV.GINI","Egypt, Arab Rep.","EGY","28.3","NA","NA","31.8","NA","NA","NA","NA","31.9","NA","31.5","NA"
Gini index,"SI.POV.GINI","El Salvador","SLV","41.8","43.4","41.6","40.6","NA","38.8","39","NA","38.8","38.6","38","40"
Gini index,"SI.POV.GINI","Equatorial Guinea","GNQ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Eritrea","ERI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Estonia","EST","32.9","35.1","34.6","32.7","NA","NA","31.8","30.7","30.8","30.3","30.4","31.2"
