Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2023 [YR2023]","2022 [YR2022]","2021 [YR2021]","2020 [YR2020]","2019 [YR2019]","2018 [YR2018]","2017 [YR2017]","2016 [YR2016]"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Afghanistan","AFG","1.692","NA","7.915","NA","NA","NA","5.679","11.71","NA","NA","11.184","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Albania","ALB","13.376","15.866","18.055","17.193","NA","NA","NA","NA","11.466","12.304","13.616","15.418"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Algeria","DZA","10.97","9.82","10.207","11.206","NA","NA","NA","NA","NA","NA","12","10.202"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","American Samoa","ASM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Andorra","AND","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Angola","AGO","NA","NA","9.579","NA","NA","NA","15.799","NA","16.497","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Antigua and Barbuda","ATG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Argentina","ARG","7.217","7.1","7.268","NA","6.139","6.805","8.736","11.461","9.843","9.221","8.347","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Armenia","ARM","17.511","16.576","17.499","18.261","NA","NA","8.418","8.055","9.794","10.589","17.705","17.617"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Aruba","ABW","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Australia","AUS","5.225","5.663","6.078","6.055","3.668","3.728","5.116","6.456","5.159","5.3","5.592","5.711"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Austria","AUT","4.909","5.367","5.674","5.802","5.264","4.992","6.459","5.201","4.56","4.933","5.561","6.064"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Azerbaijan","AZE","5.19","4.97","4.91","4.96","NA","5.65","6.04","7.24","5","4.9","5","5"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Bahamas, The","BHS","14.02","16.18","13.8","12","8.643","NA","NA","NA","9.336","10","9.8","12.7"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Bahrain","BHR","1.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Bangladesh","BGD","NA","4.426","NA","NA","NA","4.593","NA","NA","NA","NA","4.372","4.35"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Barbados","BRB","NA","11.55","12.17","9.803","NA","NA","NA","NA","8.413","8.322","8.622","8.247"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Belarus","BLR","0.5","0.5","0.5","1","3.461","3.574","3.9","4.049","4.165","4.763","5.648","5.844"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Belgium","BEL","7.542","8.425","8.523","8.482","5.528","5.57","6.248","5.545","5.364","5.941","7.09","7.83"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Belize","BLZ","NA","8.349","8.244","7.578","NA","NA","NA","NA","9.053","NA","6.596","7"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Benin","BEN","NA","NA","NA","NA","NA","1.685","NA","NA","1.214","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Bermuda","BMU","8.44","6.66","8.94","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Bhutan","BTN","2.05","2.87","2.63","2.45","3.126","5.947","4.804","5.03","2.72","3.35","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Bolivia","BOL","2.066","2.437","2.021","3.111","3.024","3.552","5.089","7.903","3.682","3.519","3.655","3.498"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Bosnia and Herzegovina","BIH","28.01","27.49","27.517","27.695","10.668","12.657","14.897","15.868","15.692","18.4","20.527","25.408"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Botswana","BWA","NA","NA","NA","NA","23.381","23.615","23.106","21.017","20.094","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Brazil","BRA","7.251","7.071","6.755","8.538","7.947","9.231","13.159","13.697","11.936","12.33","12.792","11.58"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","British Virgin Islands","VGB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Brunei Darussalam","BRN","NA","NA","6.862","NA","5.296","5.191","4.905","7.409","6.6","8.7","9.316","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Bulgaria","BGR","12.27","12.941","11.424","9.143","4.319","4.268","5.267","5.125","4.23","5.211","6.164","7.575"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Burkina Faso","BFA","NA","NA","6.481","NA","5.348","1.927","NA","NA","1.56","4.695","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Burundi","BDI","NA","NA","1.572","NA","NA","NA","NA","1.03","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Cabo Verde","CPV","NA","NA","NA","31.313","NA","NA","NA","NA","11.29","12.17","12.24","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Cambodia","KHM","1.279","0.438","0.692","0.393","NA","NA","0.396","0.172","0.499","NA","0.141","0.716"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Cameroon","CMR","NA","NA","3.534","NA","NA","NA","3.275","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Canada","CAN","7.392","7.143","7.023","6.945","5.415","5.28","7.527","9.657","5.69","5.837","6.426","7.038"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Cayman Islands","CYM","6.21","6.27","4.7","4.24","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Central African Republic","CAF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Chad","TCD","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.135","NA","NA"
"Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","Channel Islands","CHI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
